compound_id,Name,alias,IUPAC_name,Novelty,component_type,source_type,source_path,Item_ID,evidence_text,manual_required,reason
C000034,DAB-SS-AA-C12,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 36A,"DAB-SS-AA-C12: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 36A) δ 7.52 (d, *J* = 7.9 Hz, 2H), 7.27 (d, *J* = 8.0 Hz, 2H), 7.15 – 7.08 (m, 2H), 7.01 (d, *J* = 15.0 Hz, 3H), 4.25 (s, 1H), 4.20 – 4.15 (m, 4H), 3.84 (s, 6H), 3.72 (s, 3H), 3.10 – 3.07 (m, 6H), 3.03 – 3.00 (m, 4H), 2.89 – 2.70 (m, 26H), 1.46 (d, *J* = 59.4 Hz, 22H), 1.23 (s, 95H), 0.86 – 0.81 (m, 19H).",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000035,DAB-SS-AA-C14,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 36B,"DAB-SS-AA-C14: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 36B) δ 7.51 (d, *J* = 6.7 Hz, 1H), 7.27 (d, *J* = 8.6 Hz, 1H), 7.16 – 6.95 (m, 3H), 4.25 (d, *J* = 13.8 Hz, 1H), 4.21 – 4.08 (m, 4H), 3.92 (s, 6H), 3.71 (s, 3H), 3.19 (d, *J* = 3.7 Hz, 6H), 3.10 – 3.08 (m, 5H), 2.98 – 2.64 (m, 26H), 1.38 (s, 22H), 1.21 (s, 120H), 0.83 (d, *J* = 6.4 Hz, 18H).",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000036,G0-6C-AA-C12,,,novel,ionizable_lipid,markdown,QS_2026/QS_2026.md,Supplementary Fig. 49,"Then, we verified that pILs could be used to transfect an additional cancer cell line. We repeated a similar workflow, this time using MC38 cells, a mouse colon adenocarcinoma cell line (Fig. [2a\)](#page-2-0). Treatment of MC38 cells in vitro with our library of pLNPs encapsulating FLuc mRNA showed that G0-SS-AA-C12 pLNP had the highest transfection efficiency (Fig. [2b\)](#page-2-0). All pLNPs exhibited low cytotoxicity in vitro (Supplementary Fig. 49). To emphasize the structural advantage of the pIL, we also designed a control lipid, termed G0-6C-AA-C12, that could not release drug by substituting the disulfide linkage with carbon–carbon linkage (Supplementary Figs. 40–46). Interestingly",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000037,Nitro-SS-Nitro,,,known,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 4,"*Synthesis of Nitro-SS-Nitro*. 4-Nitrophenyl carbonochloridate (2.4 equiv.), triethylamine (3 equiv.) and 50 mL of THF were added into a reaction flask. Then 2-hydroxyethyl disulfide (1 equiv.) was dissolved in 50 mL THF and slowly added into the flask. The mixture was stirred at room temperature overnight. Upon completion, the reaction mixture was filtered to remove undissolved substance and collect filtrates. After removing all the solvents on a rotary evaporator, the residues were further purified using a CombiFlash Rf-200i on silica gel using hexane:ethyl acetate (v:v = 6:1) as eluent to afford Nitro-SS-Nitro (yield: 80%). 1H NMR (400 MHz, CDCl3, Supplementary Fig. 4): δ 8.30 (d, *J* = 9",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000038,Nitro-SS-AA,,,novel,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 1,"synthesize an indoximod pIL, we first generated an intermediate prodrug structure, Nitro-SS-AA (Supplementary Fig. 1). As shown in Supplementary Fig. 1, the hydroxyls of 2-hydroxyethyl disulfide were first protected by 4-nitrophenyl carbonochloridate to generate reactive carbonates (Supplementary Figs. 1 and 4) for a subsequent reaction",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000039,4-Nitro-SS-AA,,,novel,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 5,"with indoximod (1-methyl-D-tryptophan) to obtain 4-Nitro-SS-AA (Supplementary Fig. 5). The presence of a disulfide linkage in this structure enables intracellular release of indoximod via GSH cleavage. Next, Nitro-SS-AA was reacted with seven amine heads to generate seven prodrug polyamine heads, and all structures were confirmed by",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000040,P2A-SS-AA,,,novel,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 12A,"P2A-SS-AA: 1H NMR (400 MHz, DMSO-*d*6, Supplementary Fig. 12A) δ 7.53 (d, *J* = 7.8 Hz, 1H), 7.35 (d, *J* = 8.2 Hz, 1H), 7.19 (t, *J* = 5.7 Hz, 1H), 7.05 (dt, *J* = 47.5, 7.1 Hz, 3H), 6.90 (d, *J* = 9.2 Hz, 1H), 4.14 (dt, *J* = 12.3, 6.1 Hz, 4H), 4.05 (s, 1H), 3.72 (s, 3H), 3.22 – 2.97 (m, 4H), 2.91 (dt, *J* = 12.5, 6.2 Hz, 4H), 2.80 (t, *J* = 7.2 Hz, 2H), 2.44 – 2.17 (m, 12H), 1.66 (p, *J* = 7.4, 7.0 Hz, 2H), 1.59 – 1.48 (m, 2H). 13C NMR (101 MHz, DMSO-*d*6, Supplementary Fig. 12B) δ 162.97, 156.36, 155.39, 139.01, 131.80, 126.68, 122.17, 119.61, 118.18, 116.03, 111.22, 110.25, 63.11, 61.52, 55.63, 54.41, 53.43, 52.31, 37.97, 36.49, 32.04, 28.71, 26.86, 23.65. ESI-MS (m/z, Supplementary Fig",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000041,T3A-SS-AA,,,novel,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 14A,"T3A-SS-AA: 1H NMR (400 MHz, DMSO-*d*6, Supplementary Fig. 14A) δ 7.53 (d, *J* = 7.9 Hz, 1H), 7.34 (d, *J* = 8.2 Hz, 1H), 7.11 (t, *J* = 7.6 Hz, 2H), 7.04 (s, 1H), 6.99 (t, *J* = 7.4 Hz, 1H), 6.75 (d, *J* = 7.2 Hz, 1H), 4.19 – 4.09 (m, 4H), 4.05 (q, *J* = 7.5 Hz, 1H), 3.70 (s, 3H), 2.95 (ddt, *J* = 25.3, 19.0, 6.9 Hz, 8H), 2.82 – 2.75 (m, 4H), 2.43 – 2.24 (m, 6H), 1.74 – 1.39 (m, 6H). 13C NMR (101 MHz, DMSO-*d*6, Supplementary Fig. 14B) δ 165.87, 156.36, 155.04, 137.38, 129.78, 122.43, 119.46, 118.70, 111.81, 108.94, 64.62, 56.39, 53.32, 50.45, 37.66, 32.17, 28.32, 27.07, 25.03. ESI-MS (m/z, Supplementary Fig. 15): Calcd for [M+H]+: 613.3, found: 613.2; Calcd for [M+2H]2+: 307.2, found: 307.2",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000042,G0-SS-AA,,,novel,reagent,markdown,QS_2026/QS_2026.md,Fig. 2,"<span id=""page-2-0""></span>**Fig. 2**| **In vitro and in vivo screening of pIL library and lead pLNPs for mRNA delivery. a**, Schematic showing screening method for pILs. pLNPs were formulated with a pIL, cholesterol, DOPE and DMG-PEG at a molar ratio of 50:38.5:10:1.5. MC38 cells were used for in vitro screening of pLNPs encapsulating FLuc mRNA. Lead pLNPs were selected for in vivo evaluation via MC38 intratumoural administration. b, Heat map showing luminescence intensities of MC38 cells after treatment with pLNPs formulated from 21 distinct pILs. **c**, Ex vivo FLuc expression in tumour tissue (n = 3). Mice were intratumourally injected with G0-SS-AA-C10/C12/C14 FLuc pLNPs and MC3 FLuc LN",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000043,110-SS-AA,,,novel,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 6A,"110-SS-AA: 1H NMR (400 MHz, DMSO-*d*6, Supplementary Fig. 6A) δ 7.51 (d, *J* = 7.4 Hz, 1H), 7.32 (d, *J* = 8.3 Hz, 1H), 7.26 (s, 1H), 7.09 (t, *J* = 7.6 Hz, 1H), 7.02 (s, 1H), 6.97 (t, *J* = 7.4 Hz, 1H), 6.43 (d, *J* = 8.3 Hz, 1H), 4.19 – 4.13 (m, 1H), 4.04 (t, *J* = 6.7 Hz, 4H), 3.69 (s, 3H), 3.05 – 2.90 (m, 4H), 2.81 (d, *J* = 5.6 Hz, 4H), 2.69 – 2.51 (m, 10H). 13C NMR (101 MHz, DMSO-*d*6, Supplementary Fig. 6B) δ 164.83, 159.04, 156.88, 137.40, 127.29, 120.87, 119.77, 117.94, 110.50, 108.30, 62.16, 62.00, 57.70, 51.93, 47.74, 38.47, 37.18, 36.48, 34.40, 27.98. ESI-MS (m/z, Supplementary Fig. 7): Calcd for [M+H]+: 572.2, found: 572.2; Calcd for [M+2H]2+: 286.1, found: 286.2.",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000044,306-SS-AA,,,novel,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 10A,"306-SS-AA: 1H NMR (400 MHz, DMSO-*d*6, Supplementary Fig. 10A) δ 7.52 (d, *J* = 7.9 Hz, 1H), 7.33 (d, *J* = 8.2 Hz, 1H), 7.26 (t, *J* = 5.7 Hz, 1H), 7.14 – 6.94 (m, 3H), 6.74 (s, 1H), 4.11 (t, *J* = 5.2 Hz, 4H), 4.06 – 4.01 (m, 1H), 3.70 (s, 3H), 3.09 (ddd, *J* = 64.4, 14.5, 6.1 Hz, 4H), 2.94 – 2.83 (m, 4H), 2.80 (t, *J* = 7.0 Hz, 2H), 2.52 (d, *J* = 1.8 Hz, 4H), 2.10 (s, 3H), 1.75 – 1.44 (m, 4H). 13C NMR (101 MHz, DMSO-*d*6, Supplementary Fig. 10B) δ 163.81, 156.76, 154.25, 135.35, 128.61, 128.20, 122.65, 119.47, 117.95, 110.63, 109.80, 62.28, 61.60, 56.90, 55.04, 54.39, 41.29, 38.63, 33.35, 27.76, 26.30, 23.79. ESI-MS (m/z, Supplementary Fig. 11): Calcd for [M+H]+: 570.2, found: 570.2; Cal",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000045,L2A-SS-AA,,,novel,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 8A,"L2A-SS-AA: 1H NMR (400 MHz, DMSO-*d*6, Supplementary Fig. 8A) δ 7.54 (d, *J* = 7.8 Hz, 1H), 7.34 (d, *J* = 8.1 Hz, 1H), 7.22 (t, *J* = 5.6 Hz, 1H), 7.11 (t, *J* = 7.7 Hz, 1H), 7.05 (d, *J* = 6.5 Hz, 1H), 6.99 (t, *J* = 7.4 Hz, 1H), 6.64 (d, *J* = 7.6 Hz, 1H), 4.19 – 4.10 (m, 4H), 4.01 (s, 1H), 3.71 (s, 3H), 3.00 (td, *J* = 13.2, 12.1, 6.1 Hz, 4H), 2.91 – 2.82 (m, 4H), 2.79 (q, *J* = 4.1, 3.2 Hz, 2H), 2.75 – 2.60 (m, 8H), 1.69 (dt, *J* = 27.4, 8.8 Hz, 4H). 13C NMR (101 MHz, DMSO-*d*6, Supplementary Fig. 8B) δ 162.20, 156.44, 155.85, 140.88, 129.05, 121.83, 119.97, 118.04, 111.63, 62.00, 46.22, 38.30, 37.83, 32.69, 27.91. ESI-MS (m/z, Supplementary Fig. 9): Calcd for [M+H]+: 599.2, found: 599.",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000046,DAB-SS-AA,,,novel,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 16,"DAB-SS-AA: 1H NMR (400 MHz, DMSO-*d*6, Supplementary Fig. 16) δ 7.52 (d, *J* = 8.0 Hz, 1H), 7.33 (d, *J* = 8.2 Hz, 1H), 7.29 (d, *J* = 6.0 Hz, 1H), 7.10 (t, *J* = 7.6 Hz, 1H), 6.99 (dd, *J* = 14.4, 6.9 Hz, 2H), 6.52 (d, *J* = 7.4 Hz, 1H), 4.18 – 4.09 (m, 4H), 3.98 (d, *J* = 6.0 Hz, 1H), 3.70 (s, 3H), 3.26 – 2.58 (m, 16H), 2.41 – 2.30 (m, 9H), 1.79 – 1.19 (m, 12H). ESI-MS (m/z, Supplementary Fig. 17): Calcd for [M+H]+: 741.1, found: 741.4; Calcd for [M+2H]2+: 371.2, found: 371.3. Calcd for [M+3H]3+: 247.8, found: 247.9.",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000047,Nitro-6C-Nitro,,,known,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 41,"*Synthesis of Nitro-6C-Nitro*. 4-Nitrophenyl carbonochloridate (2.4 equiv.), triethylamine (3 equiv.) and 50 mL THF were added into a reaction flask. Then 1,6-hexanediol (1 equiv.) was dissolved in 50 mL THF and slowly added into the flask. The mixture was stirred at room temperature overnight. Upon completion, the reaction mixture was filtered to remove undissolved substance and collect filtrates. After removing all the solvents on a rotary evaporator, the residues were further purified by combiflash on silica gel using hexane:ethyl acetate (v:v = 6:1) as eluent to afford Nitro-6C-Nitro (yield: 72%). 1H NMR (400 MHz, CDCl3, Supplementary Fig. 41): δ 8.34 – 8.26 (m, 4H), 7.44 – 7.37 (m, 4H),",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000048,Nitro-6C-AA,,,novel,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,,"*Synthesis of Nitro-6C-AA*. Nitro-6C-Nitro (1.2 equiv.) and triethylamine (1.5 equiv.) were dissolved in 20 mL THF in a reaction flask and stirred at 0 oC. Then 1-methyl-*D*-tryptophan (1 equiv.) was dissolved in a mixture of THF and NaHCO3 aqueous (v:v = 1:3) and slowly added into the reaction flask. The reaction mixture was allowed to warm to room temperature under stirring for 3 h. Upon completion, THF was removed under reduced pressure. The residues were poured into 100 mL ethyl acetate and washed with 50 mL saturated NaCl solution three times. The organic layer was collected and dried over anhydrous Na2SO4, filtered and evaporated to dryness under reduced pressure. The residues were fur",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000049,G0-6C-AA,,,novel,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 49,"Then, we verified that pILs could be used to transfect an additional cancer cell line. We repeated a similar workflow, this time using MC38 cells, a mouse colon adenocarcinoma cell line (Fig. [2a\)](#page-2-0). Treatment of MC38 cells in vitro with our library of pLNPs encapsulating FLuc mRNA showed that G0-SS-AA-C12 pLNP had the highest transfection efficiency (Fig. [2b\)](#page-2-0). All pLNPs exhibited low cytotoxicity in vitro (Supplementary Fig. 49). To emphasize the structural advantage of the pIL, we also designed a control lipid, termed G0-6C-AA-C12, that could not release drug by substituting the disulfide linkage with carbon–carbon linkage (Supplementary Figs. 40–46). Interestingly",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000050,G0-SS-AA-C12 IL-12 pLNP,,,novel,formulation_component,markdown,QS_2026/QS_2026.md,Fig. 3,"<span id=""page-3-0""></span>**Fig. 3 | G0-SS-AA-C12 LNP for potent IL-12 mRNA transfection and suppression of T cell exhaustion in vitro***.* **a**, Scheme depicting intracellular and extracellular IL-12 detection via ELISA. MC38 cells were treated with MC3 LNP, G0-6C-AA-C12 LNP or G0-SS-AA-C12 pLNP encapsulating IL-12 mRNA for 16 h at a dosage of 0.5 μg ml−1 per well. The supernatants and MC38 cells were collected for analysis via ELISA. **b**, Secreted IL-12 in cell growth medium 16 h after treatment (*n* = 4). **c**, IL-12 expression in lysed MC38 cells 16 h after incubation (*n* = 4). **d**, Immunofluorescence images of MC38 cells treated with different LNPs. MC38 cells were treated with",true,"Component or formulation name is explicit, but no single exact source IUPAC name is provided."
C000051,G0-SS-AA-C12 FLuc pLNP,,,novel,formulation_component,markdown,QS_2026/QS_2026.md,,"The capacity of GO-SS-AA-C12 pLNP to mitigate T cell exhaustion was evaluated by co-culturing primary OT-I CD3<sup>+</sup> T cells with ovalbumin-modified MC38 (MC38-OVA) cancer cells at a 1:1 effector-to-target (E:T) ratio. GO-SS-AA-C12 IL-12 pLNP and GO-SS-AA-C12 FLuc pLNP were added at 0.5 µg per well for 3 days. Cells treated with PBS served as a negative control. Every 3 days, equivalent numbers of MC38-OVA cells and corresponding amounts of mRNApLNP were added, for a total of 5 cycles, to mimic chronic T cell stimulation within the TME. After the final stimulation, cells were collected and analysed via flow cytometry for CD69 and CD25 expression, markers of T cell activation, and for P",true,"Component or formulation name is explicit, but no single exact source IUPAC name is provided."
C000052,G0-6C-AA-C12 IL-12 LNP,,,novel,formulation_component,markdown,QS_2026/QS_2026.md,Fig. 3,"<span id=""page-3-0""></span>**Fig. 3 | G0-SS-AA-C12 LNP for potent IL-12 mRNA transfection and suppression of T cell exhaustion in vitro***.* **a**, Scheme depicting intracellular and extracellular IL-12 detection via ELISA. MC38 cells were treated with MC3 LNP, G0-6C-AA-C12 LNP or G0-SS-AA-C12 pLNP encapsulating IL-12 mRNA for 16 h at a dosage of 0.5 μg ml−1 per well. The supernatants and MC38 cells were collected for analysis via ELISA. **b**, Secreted IL-12 in cell growth medium 16 h after treatment (*n* = 4). **c**, IL-12 expression in lysed MC38 cells 16 h after incubation (*n* = 4). **d**, Immunofluorescence images of MC38 cells treated with different LNPs. MC38 cells were treated with",true,"Component or formulation name is explicit, but no single exact source IUPAC name is provided."
C000053,G0-6C-AA-C12 LNP,,,novel,formulation_component,markdown,QS_2026/QS_2026.md,,"Purified G0-SS-AA-C12 or G0-6C-AA-C12 were combined with standard excipients and mixed with FLuc mRNA using a microfluidic device to generate pLNPs for physiochemical characterization. Transmission electron microscopy images showed uniform, multilamellar, complex spherical morphologies of both G0-SS-AA-C12 pLNP and G0-6C-AA-C12 LNP with hydrodynamic diameters of 43 nm and 78 nm, polydispersity index values of 0.12 and 0.26, and slightly positive surface charges (Supplementary Figs. 52 and 53). FLuc mRNA encapsulation efficiency (EE) of G0-SS-AA-C12 pLNP and G0-6C-AA-C12 LNP was determined to be 91.2% and 89.6%, respectively, and their pKa values were approximately 6.67 and 6.50, respectively",true,"Component or formulation name is explicit, but no single exact source IUPAC name is provided."
C000054,MC3 LNP,,,novel,formulation_component,markdown,QS_2026/QS_2026.md,,"of 2.5 $\mu$ g per mouse for 6 h and the total flux was quantified. Data are presented as mean $\pm$ s.d. Statistical differences were calculated using one-way analysis of variance (ANOVA) with Fisher's least significant difference (LSD) multiple comparisons test. **d**, Representative confocal images showing endosomal escape of G0-SS-AA-C12 pLNP and MC3 LNP. MC38 cells were treated with DiO-labelled LNPs for 2 h, and then stained with LysoTracker Deep Red and Hoechst 33342 before imaging. The experiments were repeated three times with similar results. \*\*\*\*\*P< 0.0001; \*\*\*P< 0.001; \*\*P< 0.001; \*\*P< 0.05. Panel **a** created in BioRender; Hamilton, A. https://biorender.com/h01uj00",true,"Component or formulation name is explicit, but no single exact source IUPAC name is provided."
C000055,2-hydroxyethyl disulfide,,,known,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 1,"synthesize an indoximod pIL, we first generated an intermediate prodrug structure, Nitro-SS-AA (Supplementary Fig. 1). As shown in Supplementary Fig. 1, the hydroxyls of 2-hydroxyethyl disulfide were first protected by 4-nitrophenyl carbonochloridate to generate reactive carbonates (Supplementary Figs. 1 and 4) for a subsequent reaction",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000056,"2,2'-disulfanediylbis(ethan-1-ol)",,,known,reagent,markdown,,,,true,Candidate retained from QS_2026 text-prep candidate list; source sentence was not re-located automatically in the sandbox fallback.
C000057,"hexane-1,6-diol",,,known,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,,"DLin-MC3-DMA was obtained from MedChemExpress. 1,2-Dioleoyl-snglycero-3-phosphoethanolamine (DOPE), 1,2-distearoyl-sn-glycero-3-p hosphocholine (DSPC), cholesterol and 1,2-dimyristoyl-rac-glycero-3-m ethoxypolyethylene glycol-2000 (DMG-PEG 2000) were purchased from Avanti Polar Lipids. 2,2′-Disulfanediylbis(ethan-1-ol), 1-methyl-D-tryptophan, hexane-1,6-diol, 2-hydroxyethyl disulfide and polyamine heads were purchased from Sigma-Aldrich. Epoxydecane (C10), epoxydodecane (C12), epoxytetradecane (C14) and 4-nitrophenyl carbonochloridate were purchased from Tokyo Chemical Industry. All organic solvents were purchased from Fisher Scientific. FLuc mRNA (5moU) (L-7202) was purchased from TriLink B",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000058,"1,6-hexanediol",,,known,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 41,"*Synthesis of Nitro-6C-Nitro*. 4-Nitrophenyl carbonochloridate (2.4 equiv.), triethylamine (3 equiv.) and 50 mL THF were added into a reaction flask. Then 1,6-hexanediol (1 equiv.) was dissolved in 50 mL THF and slowly added into the flask. The mixture was stirred at room temperature overnight. Upon completion, the reaction mixture was filtered to remove undissolved substance and collect filtrates. After removing all the solvents on a rotary evaporator, the residues were further purified by combiflash on silica gel using hexane:ethyl acetate (v:v = 6:1) as eluent to afford Nitro-6C-Nitro (yield: 72%). 1H NMR (400 MHz, CDCl3, Supplementary Fig. 41): δ 8.34 – 8.26 (m, 4H), 7.44 – 7.37 (m, 4H),",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000059,epoxydecane,,,known,reagent,markdown,,,,true,Candidate retained from QS_2026 text-prep candidate list; source sentence was not re-located automatically in the sandbox fallback.
C000060,epoxydodecane,,,known,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,,"DLin-MC3-DMA was obtained from MedChemExpress. 1,2-Dioleoyl-snglycero-3-phosphoethanolamine (DOPE), 1,2-distearoyl-sn-glycero-3-p hosphocholine (DSPC), cholesterol and 1,2-dimyristoyl-rac-glycero-3-m ethoxypolyethylene glycol-2000 (DMG-PEG 2000) were purchased from Avanti Polar Lipids. 2,2′-Disulfanediylbis(ethan-1-ol), 1-methyl-D-tryptophan, hexane-1,6-diol, 2-hydroxyethyl disulfide and polyamine heads were purchased from Sigma-Aldrich. Epoxydecane (C10), epoxydodecane (C12), epoxytetradecane (C14) and 4-nitrophenyl carbonochloridate were purchased from Tokyo Chemical Industry. All organic solvents were purchased from Fisher Scientific. FLuc mRNA (5moU) (L-7202) was purchased from TriLink B",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000061,epoxytetradecane,,,known,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,,"DLin-MC3-DMA was obtained from MedChemExpress. 1,2-Dioleoyl-snglycero-3-phosphoethanolamine (DOPE), 1,2-distearoyl-sn-glycero-3-p hosphocholine (DSPC), cholesterol and 1,2-dimyristoyl-rac-glycero-3-m ethoxypolyethylene glycol-2000 (DMG-PEG 2000) were purchased from Avanti Polar Lipids. 2,2′-Disulfanediylbis(ethan-1-ol), 1-methyl-D-tryptophan, hexane-1,6-diol, 2-hydroxyethyl disulfide and polyamine heads were purchased from Sigma-Aldrich. Epoxydecane (C10), epoxydodecane (C12), epoxytetradecane (C14) and 4-nitrophenyl carbonochloridate were purchased from Tokyo Chemical Industry. All organic solvents were purchased from Fisher Scientific. FLuc mRNA (5moU) (L-7202) was purchased from TriLink B",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000062,4-nitrophenyl carbonochloridate,,,known,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 1,"synthesize an indoximod pIL, we first generated an intermediate prodrug structure, Nitro-SS-AA (Supplementary Fig. 1). As shown in Supplementary Fig. 1, the hydroxyls of 2-hydroxyethyl disulfide were first protected by 4-nitrophenyl carbonochloridate to generate reactive carbonates (Supplementary Figs. 1 and 4) for a subsequent reaction",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000063,triethylamine,,,known,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 4,"*Synthesis of Nitro-SS-Nitro*. 4-Nitrophenyl carbonochloridate (2.4 equiv.), triethylamine (3 equiv.) and 50 mL of THF were added into a reaction flask. Then 2-hydroxyethyl disulfide (1 equiv.) was dissolved in 50 mL THF and slowly added into the flask. The mixture was stirred at room temperature overnight. Upon completion, the reaction mixture was filtered to remove undissolved substance and collect filtrates. After removing all the solvents on a rotary evaporator, the residues were further purified using a CombiFlash Rf-200i on silica gel using hexane:ethyl acetate (v:v = 6:1) as eluent to afford Nitro-SS-Nitro (yield: 80%). 1H NMR (400 MHz, CDCl3, Supplementary Fig. 4): δ 8.30 (d, *J* = 9",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000064,methanol,,,known,reagent,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,,"*Synthesis of prodrug amine heads*. Amine head (3.0 equiv.), triethylamine (1.5 equiv.) and methanol were added into a reaction flask and stirred at 0 oC. Then 4-Nitro-SS-AA (1.0 equiv.) dissolved in methanol was slowly added into the flask. After stirring for 2 h, all solvents were removed by reduced pressure. The residues were further purified by preparative HPLC to afford prodrug amine heads for the following synthesis.",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000065,ethanol,,,known,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 47,"Next, the pILs were combined with 1,2-dioleoyl-sn-glycero-3-p hosphoethanolamine (DOPE), 1,2-dimyristoyl-rac-glycero-3-m ethoxypolyethylene glycol-2000 (DMG-PEG) and cholesterol in ethanol and pipette-mixed with 1-methylpseudouridine (m1psi)-modified firefly luciferase (FLuc) mRNA to formulate 21 pLNPs. The molar ratio of pIL/cholesterol/DOPE/DMG-PEG was kept constant at 50:38.5:10:1.5 (Fig. [2a](#page-2-0)). The pLNP library was screened in HepG2 cells, an immortalized human hepatocellular carcinoma cell line. Among the 21 pILs, G0-based pILs had the highest transfection efficiency in vitro among the 7 amine head groups (Supplementary Fig. 47). The top eight pILs were advanced for study of",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000066,THF,,,known,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 4,"*Synthesis of Nitro-SS-Nitro*. 4-Nitrophenyl carbonochloridate (2.4 equiv.), triethylamine (3 equiv.) and 50 mL of THF were added into a reaction flask. Then 2-hydroxyethyl disulfide (1 equiv.) was dissolved in 50 mL THF and slowly added into the flask. The mixture was stirred at room temperature overnight. Upon completion, the reaction mixture was filtered to remove undissolved substance and collect filtrates. After removing all the solvents on a rotary evaporator, the residues were further purified using a CombiFlash Rf-200i on silica gel using hexane:ethyl acetate (v:v = 6:1) as eluent to afford Nitro-SS-Nitro (yield: 80%). 1H NMR (400 MHz, CDCl3, Supplementary Fig. 4): δ 8.30 (d, *J* = 9",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
